Nombre_de_Curso,Seccion,Modalidad,Edificio,Salon,Inicio,Final,Dias,Catedratico,Auxiliar,Detalle
0206 CIRCUITOS ELECTRICOS 2,_A,PRESENCIAL,T-1,LAB-CIRC,14:00,15:40,MA,JORGE MARIO SITAVI COS,,Sin restricciones
0208 INSTALACIONES ELECTRICAS,_A,PRESENCIAL,T-1,LAB-INST,08:50,10:30,SA,CARLOS ALBERTO NAVARRO FUENTES,,Sin restricciones
0210 TEORIA ELECTROMAGNETICA 1,_A,PRESENCIAL,T-1,LAB TEO,16:30,18:10,VI,MATILDE LUCRECIA MARTINEZ AGUIRRE,,Sin restricciones
0230 INSTRUMENTACION ELECTRICA,_A,PRESENCIAL,T-1,LAB-ELEC,13:10,14:50,LU,OTTO FERNANDO ANDRINO GONZALEZ,,Sin restricciones
0232 ELECTRONICA  1,_A,PRESENCIAL,T-1,LAB-ELEC,14:50,15:40,JU,CARLOS EDUARDO GUZMAN SALAZAR,,Sin restricciones
0235 ROBOTICA,_A,PRESENCIAL,T-1,LAB-ELEC,18:10,19:00,MA,WENDY NORA MIRANDA LOPEZ,,Sin restricciones
0236 SISTEMAS DE CONTROL 1,_A,PRESENCIAL,T-1,LABSISC,18:10,19:00,JU,HUGO LEONEL TIUL VALENZUELA,,Sin restricciones
0240 ELECTRONICA 2,_A,PRESENCIAL,T-1,LAB-ELEC,14:00,14:50,LU,HUGO LEONEL TIUL VALENZUELA,,Sin restricciones
0242 COMUNICACIONES 1,_A,PRESENCIAL,T-1,LAB-ELEC,16:30,17:20,LU,WENDY NORA MIRANDA LOPEZ,,Sin restricciones
0243 COMUNICACIONES 4,_A,PRESENCIAL,T-1,LAB-ELEC,19:50,20:40,JU,GUILLERMO ANTONIO PUENTE ROMERO,,Sin restricciones
0245 COMUNICACIONES 3,_A,PRESENCIAL,T-1,LAB-ELEC,16:30,17:20,LU,CHRISTIAN ANTONIO ORELLANA LÓPEZ,,Sin restricciones
0246 ELECTRONICA 3,_A,PRESENCIAL,T-1,LAB-ELEC,11:30,12:20,LU,MIGUEL VENTURA PEREZ,,Sin restricciones
